Text,Cleaned_Text,Sentiment_Main,Platform,Country,User,Cleaned_Hashtags,Likes,Retweets,Engagement_Score,Timestamp,Year,Month,Day,Hour
" Lost in the vast sea of information, an indifferent wave in the digital ocean. ",lost in the vast sea of information an indifferent wave in the digital ocean,Neutral,Instagram, Canada          , ApatheticObserver ,"['indifference', 'digitaloverload']",15.0,7.0,29.0,2022-11-28 17:30:00,2022,11,28,17
" The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ",the complex puzzle of life leaves me in a state of perpetual confusion seeking answers in the chaos,Neutral,Facebook, UK           , SeekingClarity    ,"['confusion', 'lifepuzzle']",20.0,10.0,40.0,2020-04-02 09:45:00,2020,4,2,9
" A numbness settles over me, a shield against the overwhelming emotions life throws my way. ",a numbness settles over me a shield against the overwhelming emotions life throws my way,Neutral,Twitter, India        , EmotionallyDistant ,"['numbness', 'emotionalshield']",15.0,8.0,31.0,2021-08-10 14:00:00,2021,8,10,14
" Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",gazing at the sunset a melancholic longing for moments that slip through the fingers of time,Neutral,Instagram, Australia     , SunsetDreamer     ,"['melancholy', 'sunsetmoments']",25.0,12.0,49.0,2019-06-18 20:45:00,2019,6,18,20
" Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. ",revisiting old photographs caught in the embrace of nostalgias bittersweet symphony,Positive,Facebook, USA          , MemoryLaneTraveler ,"['nostalgia', 'memorylane']",20.0,10.0,40.0,2018-02-05 15:15:00,2018,2,5,15
" Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. ",torn between conflicting emotions an ambivalence that paints my decisions in shades of uncertainty,Neutral,Twitter, Canada        , MixedFeelings     ,"['ambivalence', 'uncertainchoices']",25.0,12.0,49.0,2022-05-30 11:30:00,2022,5,30,11
" Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",embracing the ebb and flow of life finding acceptance in the dance of existence,Neutral,Instagram, UK           , ZenLifestyle      ,"['acceptance', 'lifejourney']",30.0,15.0,60.0,2023-01-10 16:20:00,2023,1,10,16
" Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ",facing challenges headon a determination that fuels the fire within to achieve the impossible,Positive,Facebook, India        , ResilientSpirit   ,"['determination', 'achievetheimpossible']",20.0,10.0,40.0,2020-09-18 13:45:00,2020,9,18,13
" Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. ",serenity found in the stillness of nature a tranquil retreat from the chaos of the modern world,Neutral,Twitter, Australia    , NatureSoul        ,"['serenity', 'natureretreat']",25.0,12.0,49.0,2021-07-03 19:00:00,2021,7,3,19
" Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. ",curiosity leading me down the rabbit hole of knowledge a perpetual student in lifes classroom,Neutral,Instagram, USA          , EternalLearner    ,"['curiosity', 'knowledgequest']",40.0,20.0,80.0,2022-10-08 08:15:00,2022,10,8,8
" Floating through the day with an air of indifference, detached from the mundane happenings around. ",floating through the day with an air of indifference detached from the mundane happenings around,Neutral,Facebook, Canada        , AloofObserver     ,"['indifference', 'floatingthroughlife']",20.0,10.0,40.0,2023-03-22 16:30:00,2023,3,22,16
" Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ",entangled in the web of thoughts confusion reigning as i navigate the labyrinth of ideas,Neutral,Twitter, UK            , ThoughtExplorer   ,"['confusion', 'thoughtlabyrinth']",30.0,15.0,60.0,2021-05-15 11:45:00,2021,5,15,11
" Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",numb to the chaos emotions locked away a stoic facade concealing the inner turmoil,Neutral,Instagram, Australia     , StoicSoul         ,"['numbness', 'stoicfacade']",15.0,8.0,31.0,2019-12-28 14:30:00,2019,12,28,14
" Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams. ",melancholy whispers in the breeze a silent conversation with the echoes of forgotten dreams,Neutral,Facebook, India         , DreamerInSilence  ,"['melancholy', 'whispersinthebreeze']",25.0,12.0,49.0,2020-03-01 19:00:00,2020,3,1,19
" Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone. ",stumbling upon an old journal nostalgia flooding in waves carrying me to moments long gone,Positive,Twitter, Canada        , JournalKeeper     ,"['nostalgia', 'journalmoments']",20.0,10.0,40.0,2018-07-10 15:45:00,2018,7,10,15
" A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ",a tapestry of conflicting feelings weaving through uncertainty caught in the threads of ambivalence,Neutral,Instagram, UK            , ThreadWeaver      ,"['ambivalence', 'conflictingfeelings']",25.0,12.0,49.0,2022-01-05 10:30:00,2022,1,5,10
" Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ",embracing the flaws finding acceptance in imperfection a journey towards selflove,Neutral,Facebook, Australia    , SelfLoveAdvocate  ,"['acceptance', 'selflovejourney']",30.0,15.0,60.0,2021-08-20 16:20:00,2021,8,20,16
" Determination burning like a wildfire, overcoming obstacles, turning dreams into reality. ",determination burning like a wildfire overcoming obstacles turning dreams into reality,Positive,Twitter, USA          , DreamChaser       ,"['determination', 'dreamsintoreality']",35.0,18.0,71.0,2019-11-03 13:45:00,2019,11,3,13
" Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",tranquil moments by the ocean serenity washing over a peaceful retreat within the waves embrace,Neutral,Instagram, Canada        , OceanSoul         ,"['serenity', 'oceanretreat']",50.0,25.0,100.0,2020-04-12 19:30:00,2020,4,12,19
" Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. ",exploring new horizons with the spark of curiosity an adventurer in the vast landscape of knowledge,Neutral,Facebook, India         , HorizonExplorer   ,"['curiosity', 'newhorizons']",45.0,22.0,89.0,2022-04-15 08:45:00,2022,4,15,8
" Drifting through the day with a nonchalant demeanor, embracing the art of indifference. ",drifting through the day with a nonchalant demeanor embracing the art of indifference,Neutral,Twitter, UK            , NonchalantSpirit  ,"['indifference', 'driftingthroughlife']",18.0,9.0,36.0,2023-02-10 17:00:00,2023,2,10,17
" Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities. ",wrestling with thoughts a perplexed mind lost in the labyrinth of lifes complexities,Neutral,Instagram, Australia    , ComplexThinker    ,"['confusion', 'perplexedmind']",28.0,14.0,56.0,2020-08-05 12:15:00,2020,8,5,12
" Immersed in a state of emotional numbness, a shield against the storm of daily struggles. ",immersed in a state of emotional numbness a shield against the storm of daily struggles,Neutral,Facebook, USA          , ShieldedHeart     ,"['numbness', 'emotionalshield']",20.0,10.0,40.0,2021-12-01 15:30:00,2021,12,1,15
" A melancholic symphony playing in the background, the soundtrack of a wistful heart. ",a melancholic symphony playing in the background the soundtrack of a wistful heart,Neutral,Twitter, Canada        , SymphonySoul      ,"['melancholy', 'wistfulheart']",26.0,13.0,52.0,2019-03-25 21:00:00,2019,3,25,21
" Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. ",flipping through the pages of an old yearbook nostalgia painting smiles and tears on my face,Positive,Instagram, India         , YearbookExplorer  ,"['nostalgia', 'yearbookmemories']",25.0,12.0,49.0,2017-06-18 14:45:00,2017,6,18,14
" Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty. ",torn between opposing emotions an ambivalence that colors my decisions with shades of uncertainty,Neutral,Facebook, Australia    , DecisiveDilemma   ,"['ambivalence', 'shadesofuncertainty']",30.0,15.0,60.0,2022-07-08 11:30:00,2022,7,8,11
" Embracing life's imperfections, finding acceptance in the journey, scars and all. ",embracing lifes imperfections finding acceptance in the journey scars and all,Neutral,Twitter, Canada        , ImperfectHarmony  ,"['acceptance', 'imperfectjourney']",36.0,18.0,72.0,2023-05-15 16:20:00,2023,5,15,16
" A fiery determination burning within, fueled by the vision of reaching unparalleled heights. ",a fiery determination burning within fueled by the vision of reaching unparalleled heights,Positive,Instagram, UK            , VisionarySpirit   ,"['determination', 'unparalleledheights']",40.0,20.0,80.0,2021-09-10 14:45:00,2021,9,10,14
" Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul. ",basking in the serenity of a quiet forest where the whispers of nature bring peace to the soul,Neutral,Facebook, USA          , ForestDreamer     ,"['serenity', 'naturewhispers']",50.0,25.0,100.0,2020-02-28 18:30:00,2020,2,28,18
" Indifferent to the noise of the world, a silent observer in the midst of life's cacophony. ",indifferent to the noise of the world a silent observer in the midst of lifes cacophony,Neutral,Instagram, India         , SilentSpectator   ,"['indifference', 'silentobserver']",18.0,9.0,36.0,2023-03-10 16:30:00,2023,3,10,16
" Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas. ",navigating through the labyrinth of thoughts confusion a constant companion in the maze of ideas,Neutral,Facebook, Australia    , MazeNavigator     ,"['confusion', 'thoughtlabyrinth']",28.0,14.0,56.0,2021-05-02 11:45:00,2021,5,2,11
" An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ",an impenetrable numbness shields me from the emotional storms a fortress of stoic resilience,Neutral,Twitter, UK            , ResilientFortress ,"['numbness', 'stoicresilience']",22.0,11.0,44.0,2019-10-18 14:30:00,2019,10,18,14
" Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ",melancholy painting the world in hues of nostalgia a canvas of bittersweet memories,Neutral,Instagram, USA          , CanvasDreamer     ,"['melancholy', 'bittersweetmemories']",26.0,13.0,52.0,2020-01-05 20:00:00,2020,1,5,20
" A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ",a journey into the past flipping through the pages of an old diary nostalgia taking the lead,Positive,Facebook, Canada        , DiaryExplorer     ,"['nostalgia', 'diaryjourney']",25.0,12.0,49.0,2018-08-10 15:45:00,2018,8,10,15
" Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ",ambivalence clouding decisions caught in the crossroads of conflicting emotions,Neutral,Twitter, India         , CrossroadsTraveler ,"['ambivalence', 'conflictingemotions']",30.0,15.0,60.0,2022-01-15 10:30:00,2022,1,15,10
" Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ",embracing imperfections finding acceptance in the mosaic of lifes beautiful chaos,Neutral,Instagram, Australia     , MosaicDreamer     ,"['acceptance', 'beautifulchaos']",36.0,18.0,72.0,2021-07-20 16:20:00,2021,7,20,16
" Determination as the driving force, propelling me forward on the path to extraordinary achievements. ",determination as the driving force propelling me forward on the path to extraordinary achievements,Positive,Facebook, USA          , PathfinderSpirit  ,"['determination', 'extraordinarypath']",40.0,20.0,80.0,2019-12-03 13:45:00,2019,12,3,13
" Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ",seeking serenity in the melody of raindrops a tranquil escape from the noise of everyday life,Neutral,Twitter, Canada        , RaindropHarmony   ,"['serenity', 'raindropmelody']",50.0,25.0,100.0,2020-04-12 19:30:00,2020,4,12,19
" Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ",curiosity driving the exploration of the unknown a seeker of knowledge in uncharted territories,Neutral,Instagram, UK            , SeekerOfUnknowns  ,"['curiosity', 'seekerofknowledge']",45.0,22.0,89.0,2022-05-08 08:45:00,2022,5,8,8
" Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. ",drifting through the day with an air of nonchalance indifferent to the trivialities of life,Neutral,Facebook, India         , NonchalantWanderer,"['indifference', 'driftingthroughlife']",18.0,9.0,36.0,2023-02-22 17:00:00,2023,2,22,17
" Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. ",lost in the labyrinth of thoughts confusion casting shadows on the quest for clarity,Neutral,Twitter, Australia    , ShadowedSeeker    ,"['confusion', 'labyrinthofthoughts']",28.0,14.0,56.0,2020-06-05 12:15:00,2020,6,5,12
" Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",wrapped in the cloak of emotional numbness a shield against the storms of lifes turbulence,Neutral,Instagram, Canada        , TurbulentShield   ,"['numbness', 'emotionalstorms']",20.0,10.0,40.0,2021-11-30 15:30:00,2021,11,30,15
" Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ",melancholy as a companion painting the canvas of life with the brushstrokes of wistful yearning,Neutral,Facebook, UK            , WistfulPainter    ,"['melancholy', 'wistfulyearning']",26.0,13.0,52.0,2019-02-25 21:00:00,2019,2,25,21
" Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. ",leafing through the pages of an old photo album nostalgia weaving tales of laughter and tears,Positive,Twitter, USA          , TaleWeaver        ,"['nostalgia', 'photoalbumstories']",25.0,12.0,49.0,2017-05-18 14:45:00,2017,5,18,14
" Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ",ambivalence in the air caught between the crossroads of conflicting emotions and decisions,Neutral,Instagram, Canada        , CrossroadsExplorer,"['ambivalence', 'crossroadsconfusion']",30.0,15.0,60.0,2022-08-05 11:30:00,2022,8,5,11
" Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. ",embracing the beauty in imperfections finding acceptance in the mosaic of lifes unpredictable art,Neutral,Facebook, Australia    , MosaicArtist      ,"['acceptance', 'unpredictableart']",36.0,18.0,72.0,2023-06-15 16:20:00,2023,6,15,16
" Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. ",determination ablaze forging a path through challenges sculpting dreams into tangible realities,Positive,Twitter, UK            , DreamSculptor     ,"['determination', 'sculptingdreams']",40.0,20.0,80.0,2021-10-10 14:45:00,2021,10,10,14
" Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. ",immerse in the serenity of a moonlit night where the quiet whispers of nature bring peace to the soul,Neutral,Instagram, USA          , MoonlitSoul       ,"['serenity', 'moonlitpeace']",50.0,25.0,100.0,2020-05-12 19:30:00,2020,5,12,19
" Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. ",fueled by curiosity venturing into uncharted realms a fearless explorer of the mysteries of the world,Neutral,Facebook, India         , FearlessExplorer  ,"['curiosity', 'fearlessexplorer']",44.0,22.0,88.0,2022-12-01 09:15:00,2022,12,1,9
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",wrapped in the cloak of emotional numbness a shield against the storms of lifes turbulence,Neutral,Instagram, Canada , TurbulentShield ,"['numbness', 'emotionalstorms']",20.0,10.0,40.0,2021-11-30 15:30:00,2021,11,30,15
" Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn. ",dancing through life with the exuberance of a carefree spirit embracing joy and zest at every turn,Positive,Twitter, USA , JoyfulDancer ,"['zest', 'carefreespirit']",30.0,15.0,60.0,2018-07-12 17:45:00,2018,7,12,17
" Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ",basking in the golden glow of contentment a serene river flowing through the landscape of the heart,Neutral,Facebook, Australia , SereneBasker ,"['contentment', 'goldenglow']",36.0,18.0,72.0,2020-09-05 20:10:00,2020,9,5,20
" Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ",gazing towards the horizon with hopeful eyes painting a canvas of dreams illuminated by the sun of optimism,Positive,Instagram, India , DreamPainter ,"['hopeful', 'canvasofdreams']",24.0,12.0,48.0,2022-04-18 08:00:00,2022,4,18,8
" Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ",standing tall proud as an oak the branches of achievement reaching towards the sky of accomplishment,Positive,Twitter, Canada , OakAchiever ,"['proud', 'branchesofachievement']",50.0,25.0,100.0,2019-12-10 12:20:00,2019,12,10,12
" A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ",a heart overflowing with gratitude a garden where appreciation blooms in the soil of kindness and connection,Positive,Facebook, USA , HeartGardener ,"['grateful', 'blossomingconnection']",40.0,20.0,80.0,2023-02-28 09:45:00,2023,2,28,9
" Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. ",extending a hand empathetic threads weaving a tapestry of understanding embracing the joys and sorrows of others,Positive,Instagram, UK , ThreadWeaver ,"['empathetic', 'tapestryofunderstanding']",30.0,15.0,60.0,2018-04-03 14:15:00,2018,4,3,14
" Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. ",compassionate clouds heavy with care showering empathy on the parched grounds of human suffering,Positive,Twitter, Australia , CloudCaretaker ,"['compassionate', 'showerofempathy']",36.0,18.0,72.0,2022-06-20 10:30:00,2022,6,20,10
" Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. ",playfully dancing in the rain of laughter a whimsical spirit twirling in the puddles of joy and lightheartedness,Neutral,Facebook, Canada , RainDancer ,"['playful', 'danceintherain']",44.0,22.0,88.0,2020-07-08 18:00:00,2020,7,8,18
" Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. ",soaring on the wings of a free spirit unburdened by the chains of conformity painting the sky with independence,Positive,Instagram, India , SkyPainter ,"['freespirit', 'paintingthesky']",40.0,20.0,80.0,2021-08-15 11:10:00,2021,8,15,11
" Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ",bathed in the glow of inspiration a creative phoenix rising from the ashes of ordinary thoughts to explore new realms,Neutral,Twitter, UK , PhoenixExplorer ,"['inspired', 'creativephoenix']",30.0,15.0,60.0,2019-10-25 16:50:00,2019,10,25,16
" Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ",navigating the sea of hope sailing towards the sunrise of possibilities confident in the ship of positive anticipation,Positive,Facebook, USA , SunriseNavigator ,"['hopeful', 'sunriseofpossibilities']",24.0,12.0,48.0,2023-10-05 07:30:00,2023,10,5,7
" Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. ",striding with confidence footprints of selfassuredness imprinted on the sands of challenges conquered and victories claimed,Positive,Instagram, Australia , SandStrider ,"['confident', 'footprintsofassuredness']",50.0,25.0,100.0,2022-02-15 13:15:00,2022,2,15,13
" Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. ",lost in the symphony of the night a moonlit serenade that whispers tales of wanderlust and moonlit dreams,Neutral,Twitter, Canada , NightSerenader ,"['serenity', 'moonlitserenade']",26.0,13.0,52.0,2021-05-08 22:00:00,2021,5,8,22
" Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",unveiling the layers of curiosity a labyrinth of questions leading to the treasure troves of undiscovered knowledge,Neutral,Instagram, USA , KnowledgeSeeker ,"['curiosity', 'labyrinthofquestions']",34.0,17.0,68.0,2020-11-29 14:45:00,2020,11,29,14
" In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. ",in the embrace of the autumn breeze leaves of ambivalence dancing in a waltz between choices and uncertainties,Neutral,Facebook, UK , BreezeWaltzer ,"['ambivalence', 'autumnwaltz']",28.0,14.0,56.0,2019-09-14 10:20:00,2019,9,14,10
" Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. ",gratitude as a guiding star navigating the constellation of blessings in the vast universe of lifes precious moments,Positive,Twitter, Australia , StarNavigator ,"['grateful', 'guidingstar']",38.0,19.0,76.0,2022-03-12 19:55:00,2022,3,12,19
" With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. ",with a zestful heart sprinting through fields of enthusiasm chasing sunbeams and laughter in the meadows of joy,Positive,Instagram, India , MeadowSprinter ,"['zest', 'fieldsofenthusiasm']",32.0,16.0,64.0,2023-03-30 16:30:00,2023,3,30,16
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",a compassionate rain tears of empathy falling gently nurturing the seeds of kindness in the garden of human connections,Positive,Facebook, Canada , RainNurturer ,"['compassionate', 'tearsofempathy']",42.0,21.0,84.0,2021-07-01 12:10:00,2021,7,1,12
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",proudly scaling the peaks of achievement a mountaineer conquering challenges and planting the flag of success,Positive,Twitter, USA , PeakConqueror ,"['proud', 'scalingpeaks']",46.0,23.0,92.0,2020-01-05 08:45:00,2020,1,5,8
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",embraced by the hopeful dawn a gardener sowing seeds of optimism tending to the blooms of a brighter tomorrow,Positive,Instagram, UK , DawnGardener ,"['hopeful', 'seedsofoptimism']",28.0,14.0,56.0,2022-07-17 06:15:00,2022,7,17,6
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",a playful escapade in the carnival of life carousel laughter and cotton candy dreams swirling in the joyous atmosphere,Neutral,Facebook, Australia , CarnivalDreamer ,"['playful', 'carnivalescapade']",48.0,24.0,96.0,2018-08-22 17:20:00,2018,8,22,17
" Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",floating on clouds of inspiration an artist painting the sky with strokes of creativity creating a masterpiece of dreams,Neutral,Twitter, India , SkyArtist ,"['inspired', 'cloudsofcreativity']",36.0,18.0,72.0,2021-12-08 14:30:00,2021,12,8,14
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",navigating the river of contentment a serene boat cruise through the tranquil waters of inner peace and acceptance,Neutral,Instagram, Canada , RiverNavigator ,"['contentment', 'tranquilwaters']",40.0,20.0,80.0,2019-04-27 09:50:00,2019,4,27,9
" With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",with empathy as a lantern wandering through the dark alleys of sorrow illuminating the path with compassion and care,Positive,Facebook, USA , LanternWanderer ,"['empathetic', 'lanternofcompassion']",32.0,16.0,64.0,2023-09-03 21:40:00,2023,9,3,21
" A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",a free spirit soaring on the wings of dreams leaving trails of independence in the azure sky of boundless possibilities,Positive,Twitter, UK , DreamSoarer ,"['freespirit', 'wingsofdreams']",44.0,22.0,88.0,2020-06-10 10:05:00,2020,6,10,10
" Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",bathed in the golden hues of gratefulness a sunset of appreciation casting its warm glow on the landscapes of the heart,Positive,Instagram, Australia , SunsetAdmirer ,"['grateful', 'goldenhues']",38.0,19.0,76.0,2022-04-01 18:30:00,2022,4,1,18
" Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",confident strides in the dance of life a ballroom where selfassuredness leads twirling through challenges with grace,Positive,Facebook, Canada , DanceStrider ,"['confident', 'danceoflife']",46.0,23.0,92.0,2021-01-15 13:00:00,2021,1,15,13
" Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",hopeful whispers of wind carrying the promises of a brighter tomorrow a symphony of optimism in the air of possibilities,Positive,Twitter, India , WindWhisperer ,"['hopeful', 'brightertomorrows']",30.0,15.0,60.0,2023-05-06 07:20:00,2023,5,6,7
" Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",playfully juggling responsibilities a circus performer balancing the acts of work and joy tossing laughter into the air,Neutral,Instagram, USA , JugglingArtist ,"['playful', 'jugglingresponsibilities']",50.0,25.0,100.0,2019-11-18 15:15:00,2019,11,18,15
" Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",whispering tales of inspiration to the stars a storyteller crafting constellations from the threads of imagination,Neutral,Facebook, UK , StarStoryteller ,"['inspired', 'talestothestars']",28.0,14.0,56.0,2020-08-29 20:45:00,2020,8,29,20
" Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",charting a course through the waves of hopeful anticipation a sailor steering towards the shores of dreams yet unexplored,Positive,Twitter, Australia , WaveNavigator ,"['hopeful', 'sailorofdreams']",34.0,17.0,68.0,2022-10-30 11:40:00,2022,10,30,11
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",a compassionate rain tears of empathy falling gently nurturing the seeds of kindness in the garden of human connections,Positive,Instagram, Canada , RainNurturer ,"['compassionate', 'tearsofempathy']",42.0,21.0,84.0,2021-07-01 12:10:00,2021,7,1,12
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",proudly scaling the peaks of achievement a mountaineer conquering challenges and planting the flag of success,Positive,Twitter, USA , PeakConqueror ,"['proud', 'scalingpeaks']",46.0,23.0,92.0,2020-01-05 08:45:00,2020,1,5,8
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",embraced by the hopeful dawn a gardener sowing seeds of optimism tending to the blooms of a brighter tomorrow,Positive,Instagram, UK , DawnGardener ,"['hopeful', 'seedsofoptimism']",28.0,14.0,56.0,2022-07-17 06:15:00,2022,7,17,6
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",a playful escapade in the carnival of life carousel laughter and cotton candy dreams swirling in the joyous atmosphere,Neutral,Facebook, Australia , CarnivalDreamer ,"['playful', 'carnivalescapade']",48.0,24.0,96.0,2018-08-22 17:20:00,2018,8,22,17
" Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",floating on clouds of inspiration an artist painting the sky with strokes of creativity creating a masterpiece of dreams,Neutral,Twitter, India , SkyArtist ,"['inspired', 'cloudsofcreativity']",36.0,18.0,72.0,2021-12-08 14:30:00,2021,12,8,14
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",navigating the river of contentment a serene boat cruise through the tranquil waters of inner peace and acceptance,Neutral,Instagram, Canada , RiverNavigator ,"['contentment', 'tranquilwaters']",40.0,20.0,80.0,2019-04-27 09:50:00,2019,4,27,9
" With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",with empathy as a lantern wandering through the dark alleys of sorrow illuminating the path with compassion and care,Positive,Facebook, USA , LanternWanderer ,"['empathetic', 'lanternofcompassion']",32.0,16.0,64.0,2023-09-03 21:40:00,2023,9,3,21
" A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",a free spirit soaring on the wings of dreams leaving trails of independence in the azure sky of boundless possibilities,Positive,Twitter, UK , DreamSoarer ,"['freespirit', 'wingsofdreams']",44.0,22.0,88.0,2020-06-10 10:05:00,2020,6,10,10
" Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",bathed in the golden hues of gratefulness a sunset of appreciation casting its warm glow on the landscapes of the heart,Positive,Instagram, Australia , SunsetAdmirer ,"['grateful', 'goldenhues']",38.0,19.0,76.0,2022-04-01 18:30:00,2022,4,1,18
" Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",confident strides in the dance of life a ballroom where selfassuredness leads twirling through challenges with grace,Positive,Facebook, Canada , DanceStrider ,"['confident', 'danceoflife']",46.0,23.0,92.0,2021-01-15 13:00:00,2021,1,15,13
" Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",hopeful whispers of wind carrying the promises of a brighter tomorrow a symphony of optimism in the air of possibilities,Positive,Twitter, India , WindWhisperer ,"['hopeful', 'brightertomorrows']",30.0,15.0,60.0,2023-05-06 07:20:00,2023,5,6,7
" Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",playfully juggling responsibilities a circus performer balancing the acts of work and joy tossing laughter into the air,Neutral,Instagram, USA , JugglingArtist ,"['playful', 'jugglingresponsibilities']",50.0,25.0,100.0,2019-11-18 15:15:00,2019,11,18,15
" Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",whispering tales of inspiration to the stars a storyteller crafting constellations from the threads of imagination,Neutral,Facebook, UK , StarStoryteller ,"['inspired', 'talestothestars']",28.0,14.0,56.0,2020-08-29 20:45:00,2020,8,29,20
